input_file,buffer_size,num_concurrent,vector_len,type,read_size,bandwidth
/users/ak5/read.bin,65536,64,1,write,5939.1345MB,1484.04MB/s
/users/ak5/read.bin,65536,64,4,write,5586.8129MB,1394.96MB/s
/users/ak5/read.bin,65536,64,16,write,5368.7091MB,1337.50MB/s
/users/ak5/read.bin,65536,64,64,write,5637.1446MB,1350.21MB/s
/users/ak5/read.bin,65536,64,256,write,6442.4509MB,1142.28MB/s
/users/ak5/read.bin,65536,64,1024,write,8589.9346MB,1020.30MB/s
/users/ak5/read.bin,65536,128,1,write,6014.6319MB,1502.91MB/s
/users/ak5/read.bin,65536,128,4,write,5603.5901MB,1384.97MB/s
/users/ak5/read.bin,65536,128,16,write,5502.9268MB,1371.96MB/s
/users/ak5/read.bin,65536,128,64,write,5905.5800MB,1322.05MB/s
/users/ak5/read.bin,65536,128,256,write,6442.4509MB,1132.84MB/s
/users/ak5/read.bin,65536,128,1024,write,8589.9346MB,1229.24MB/s
/users/ak5/read.bin,65536,256,1,write,5083.4964MB,1267.70MB/s
/users/ak5/read.bin,65536,256,4,write,5905.5800MB,1459.25MB/s
/users/ak5/read.bin,65536,256,16,write,5637.1446MB,1304.59MB/s
/users/ak5/read.bin,65536,256,64,write,6442.4509MB,1010.11MB/s
/users/ak5/read.bin,65536,256,256,write,8589.9346MB,1024.56MB/s
/users/ak5/read.bin,262144,1,1,write,6035.0792MB,1508.77MB/s
/users/ak5/read.bin,262144,1,4,write,5603.5901MB,1400.20MB/s
/users/ak5/read.bin,262144,1,16,write,6417.2851MB,1604.32MB/s
/users/ak5/read.bin,262144,1,64,write,5385.4863MB,1334.03MB/s
/users/ak5/read.bin,262144,1,256,write,6576.6687MB,1633.55MB/s
/users/ak5/read.bin,262144,1,1024,write,5368.7091MB,1095.88MB/s
/users/ak5/read.bin,262144,4,1,write,6143.6068MB,1535.90MB/s
/users/ak5/read.bin,262144,4,4,write,5184.1597MB,1294.75MB/s
/users/ak5/read.bin,262144,4,16,write,5419.0408MB,1354.76MB/s
/users/ak5/read.bin,262144,4,64,write,5570.0357MB,1392.16MB/s
/users/ak5/read.bin,262144,4,256,write,5905.5800MB,1468.68MB/s
/users/ak5/read.bin,262144,4,1024,write,6442.4509MB,1024.07MB/s
/users/ak5/read.bin,262144,8,1,write,6085.9351MB,1521.48MB/s
/users/ak5/read.bin,262144,8,4,write,5075.1078MB,1267.51MB/s
/users/ak5/read.bin,262144,8,16,write,5704.2534MB,1426.06MB/s
/users/ak5/read.bin,262144,8,64,write,5637.1446MB,1363.94MB/s
/users/ak5/read.bin,262144,8,256,write,5905.5800MB,1439.68MB/s
/users/ak5/read.bin,262144,8,1024,write,6442.4509MB,1001.78MB/s
/users/ak5/read.bin,262144,16,1,write,6023.0205MB,1505.00MB/s
/users/ak5/read.bin,262144,16,4,write,5083.4964MB,1266.76MB/s
/users/ak5/read.bin,262144,16,16,write,5704.2534MB,1412.99MB/s
/users/ak5/read.bin,262144,16,64,write,5637.1446MB,1324.21MB/s
/users/ak5/read.bin,262144,16,256,write,6442.4509MB,1404.81MB/s
/users/ak5/read.bin,262144,16,1024,write,8589.9346MB,1214.81MB/s
/users/ak5/read.bin,262144,32,1,write,6031.4092MB,1507.85MB/s
/users/ak5/read.bin,262144,32,4,write,5268.0458MB,1313.40MB/s
/users/ak5/read.bin,262144,32,16,write,5637.1446MB,1397.06MB/s
/users/ak5/read.bin,262144,32,64,write,5368.7091MB,1339.16MB/s
/users/ak5/read.bin,262144,32,256,write,6442.4509MB,1390.56MB/s
/users/ak5/read.bin,262144,32,1024,write,8589.9346MB,1221.72MB/s
/users/ak5/read.bin,262144,64,1,write,6190.7927MB,1547.70MB/s
/users/ak5/read.bin,262144,64,4,write,5234.4914MB,1292.15MB/s
/users/ak5/read.bin,262144,64,16,write,5637.1446MB,1386.41MB/s
/users/ak5/read.bin,262144,64,64,write,6442.4509MB,959.70MB/s
/users/ak5/read.bin,262144,64,256,write,8589.9346MB,1008.09MB/s
/users/ak5/read.bin,262144,128,1,write,6174.0155MB,1538.50MB/s
/users/ak5/read.bin,262144,128,4,write,5234.4914MB,1296.31MB/s
/users/ak5/read.bin,262144,128,16,write,5905.5800MB,1394.14MB/s
/users/ak5/read.bin,262144,128,64,write,6442.4509MB,941.74MB/s
/users/ak5/read.bin,262144,128,256,write,8589.9346MB,1310.24MB/s
/users/ak5/read.bin,262144,256,1,write,6106.9066MB,1512.36MB/s
/users/ak5/read.bin,262144,256,4,write,5368.7091MB,1241.03MB/s
/users/ak5/read.bin,262144,256,16,write,6442.4509MB,1439.01MB/s
/users/ak5/read.bin,262144,256,64,write,8589.9346MB,1202.06MB/s
/users/ak5/read.bin,1048576,1,1,write,6417.2851MB,1604.32MB/s
/users/ak5/read.bin,1048576,1,4,write,5318.3775MB,1326.61MB/s
/users/ak5/read.bin,1048576,1,16,write,6559.8915MB,1636.70MB/s
/users/ak5/read.bin,1048576,1,64,write,5234.4914MB,1138.18MB/s
/users/ak5/read.bin,1048576,1,256,write,6710.8864MB,1634.41MB/s
/users/ak5/read.bin,1048576,1,1024,write,5368.7091MB,1003.12MB/s
/users/ak5/read.bin,1048576,4,1,write,5330.9604MB,1332.74MB/s
/users/ak5/read.bin,1048576,4,4,write,5251.2686MB,1309.54MB/s
/users/ak5/read.bin,1048576,4,16,write,5637.1446MB,1397.41MB/s
/users/ak5/read.bin,1048576,4,64,write,5905.5800MB,1351.39MB/s
/users/ak5/read.bin,1048576,4,256,write,6442.4509MB,1205.55MB/s
/users/ak5/read.bin,1048576,4,1024,write,8589.9346MB,1046.66MB/s
/users/ak5/read.bin,1048576,8,1,write,5284.8230MB,1320.22MB/s
/users/ak5/read.bin,1048576,8,4,write,5737.8079MB,1426.61MB/s
/users/ak5/read.bin,1048576,8,16,write,5771.3623MB,1388.01MB/s
/users/ak5/read.bin,1048576,8,64,write,5905.5800MB,1352.32MB/s
/users/ak5/read.bin,1048576,8,256,write,6442.4509MB,1184.06MB/s
/users/ak5/read.bin,1048576,8,1024,write,8589.9346MB,1193.21MB/s
/users/ak5/read.bin,1048576,16,1,write,5234.4914MB,1304.71MB/s
/users/ak5/read.bin,1048576,16,4,write,5570.0357MB,1373.62MB/s
/users/ak5/read.bin,1048576,16,16,write,5637.1446MB,1387.09MB/s
/users/ak5/read.bin,1048576,16,64,write,6442.4509MB,1014.40MB/s
/users/ak5/read.bin,1048576,16,256,write,8589.9346MB,1049.47MB/s
/users/ak5/read.bin,1048576,32,1,write,5469.3724MB,1363.93MB/s
/users/ak5/read.bin,1048576,32,4,write,5502.9268MB,1374.70MB/s
/users/ak5/read.bin,1048576,32,16,write,5905.5800MB,1371.80MB/s
/users/ak5/read.bin,1048576,32,64,write,6442.4509MB,969.23MB/s
/users/ak5/read.bin,1048576,32,256,write,8589.9346MB,1191.39MB/s
/users/ak5/read.bin,1048576,64,1,write,5502.9268MB,1375.39MB/s
/users/ak5/read.bin,1048576,64,4,write,5905.5800MB,1351.39MB/s
/users/ak5/read.bin,1048576,64,16,write,6442.4509MB,1091.20MB/s
/users/ak5/read.bin,1048576,64,64,write,8589.9346MB,1020.42MB/s
/users/ak5/read.bin,1048576,128,1,write,5771.3623MB,1417.68MB/s
/users/ak5/read.bin,1048576,128,4,write,5905.5800MB,1189.68MB/s
/users/ak5/read.bin,1048576,128,16,write,6442.4509MB,1240.36MB/s
/users/ak5/read.bin,1048576,128,64,write,8589.9346MB,1200.55MB/s
/users/ak5/read.bin,1048576,256,1,write,5637.1446MB,1378.61MB/s
/users/ak5/read.bin,1048576,256,4,write,6442.4509MB,1017.76MB/s
/users/ak5/read.bin,1048576,256,16,write,8589.9346MB,1204.59MB/s
